nombre de archivo,hash ipfs
I-0000-AF-FRM-0002-0-0 Purchase Requisition.pdf,QmcWt5nKBxN3eAJmWRdfXVVeqiqF53iekx36i2NB9ZVs7R
I-0000-AF-FRM-0011-0-0 Purchaser order.pdf,QmYUQEptj9d8W59YAwPbr9QKLuH61MrpECkqC1jqBU6xaX
I-0000-AF-FRM-0002-0-0 Purchase Requisition.pdf,QmcWt5nKBxN3eAJmWRdfXVVeqiqF53iekx36i2NB9ZVs7R
I-0000-AF-FRM-0011-0-0 Purchaser order.pdf,QmYUQEptj9d8W59YAwPbr9QKLuH61MrpECkqC1jqBU6xaX
N-0000-AF-PER-0010-0-0 -Training record for requalification A.R.pdf,QmY8kuvNYLcLpcSGiGNxhVPWGucN2yapN758rcsaTRkkrh
N-0000-AF-PER-0011-0-0 - Rosso.pdf,QmNVcWk7zPbH6kDSpmb5qkETZJeyTd9wdheUikh5oCsvy3
N-0000-AF-PER-20001-0-0 - ASME III.pdf,QmUeGpoaKrU4HyPkpKE1yjBoPeXjhUGAZZQEJR7qqheh98
N-0000-AF-PER-21001-0-0 - Codigo ASME III NCA 3800.pdf,QmfH3ZLeUmQUF2uamMfFbD9gQZaxtkrQxowMqx7a4XzCGc
N-0000-AF-PER-21002-0-0 - COMERCIAL Y COMPRAS.pdf,QmQ5ZKq7BX8grgBDwX4R11t1JnULy8oLSTp6etFBjGce8s
N-0000-AF-PER-21003-0-0 - CONTROL DE DOCUMENTOS Y AUDITORIA.pdf,QmUiiWWgJtNRLo9P2MjqbmMYkyRcotYJqVREKcBc2c1Lpx
N-0000-AF-PER-21004-0-0 - RRHH y CONTROL DE PROVEEDORES.pdf,QmSVFqoj6WLYkFMgSAAUsgqnCske3h2xyJT3tR8oohRoTQ
N-0000-AF-PER-21005-0-0 - IDENTIFICACION Y MANIPULEO.pdf,QmX71itFHz14ACf33n1gFaLfmXr9EkpMeD7xvurJHywjNe
N-0000-AF-PER-21006-0-0 - NO CONFORMIDADES Y ACCIONES CORRECTIVAS.pdf,QmaJ3rQCA6ymXxBxuaojSFytr7BauwL6yR2C1aXR4g3jdX
N-0000-AF-PER-21007-0-0 - Qualification record of Welding for Drop Weight Test Coupon.pdf,QmdHFYAPtDRbbUSyufHbooNZjLYJ8TuGVZjE7Mn1kLHYyj
N-0000-AF-PER-21008-0-0 - ASME III.pdf,QmTEP8Ub5eZtXbENVs2FPEfRP5eozot9eMwJjLpQ2KWUoh
N-0000-AF-PER-21009-0-0 - Manual de Calidad.pdf,QmZ65b3qbaKSWy3PXbCdT1ZadP2X4Q2QpC1EuMYa7pfkwZ
N-0000-AF-PER-21010-0-0 -Training record for requalification A.R.pdf,QmbDx49Hf1bzsFehXzVgxWhAWiCXhfSbj8CmrCb51sfhYA
N-0000-AF-PER-21011-0-0 - Rosso.pdf,QmTyJPsEGLBxCsQB6NXUCemBaRvjPLFpqQ3H8udLgm2ZNP
N-0000-CO-FRM-0001-0-0 Feasibility review report.pdf,QmTTAN5ezi171TUajKHw6JxJYnMq36tjdPKP5AEwqGMn9A
N-0000-CO-FRM-0002-0-0 Quotation request.pdf,QmZxfXT1zCBEVk2kK3tKw4osvj4sHR26XVrySMUkkmU1Zf
N-0000-CO-FRM-0003-0-0 Production order.pdf,QmdrvJbvnYGJqRvNwsTZj9z4gJj1P2j5RWaN2phD5729C8
N-0000-CO-PRO-0001-0-0 Sales process.pdf,QmYxAc2D1xhuPwFUCTBNk56rakWiDExAxnKdDQQnKzPj62
N-0000-CO-PRO-0002-0-0 Purchasing process.pdf,Qmc9oURPyhbLEXQEFwwjh9BcPuKJarSSUBehdYKXYoi9kt
N-0000-CO-PRO-0002-1-0 Purchasing process.pdf,QmUBKtHgwRaQXM9WdxbhXiLDvVcnNZiQpiLfhnMb8dzf4t
N-0000-EN-FRM-0001-0-0 MITP.pdf,QmPTnroRHJzCRFxzzufS47FSMpDM1ANX2JTVgSgCXYeWs1
N-0000-EN-ITT-0001-0-0 Normalizing, Tempering and specimen preparation for testing of plates ASME SA-516.pdf,QmSxw1aZTVnHyb8gJviGgR5cbofsHmDeeQch3sfzH3SQ37
N-0000-EN-ITT-0002-0-0 Welding Instruction for Drop Weight Testing Coupons.pdf,QmXu3kaYt4rEBdCN5guD1KPQdGSeGfivBYbTJc3Ma78skj
N-0000-EN-ITT-0003-0-0 Packaging Instruction.pdf,QmY7AZUPvNvE7moaYtzKfSchXbsTGfpKxg6wNr4SS5nqBy
N-0000-EN-ITT-0003-0-1 Packaging Instruction.pdf,QmeN7RjfrWDg9VUi8F3eKbnCKWj2ufeKwYdoAymR9miD99
N-0000-EN-ITT-0004-0-0 Plasma Cutting Instruction.pdf,QmNgUHBaQpwXECXfuBocM9SbzuoKujiQAKrrNCNQ78irVj
N-0000-EN-ITT-0005-0-0 Sheet metal rolling process.pdf,QmbxZhcAMqwv1dQueLsAfGAyW3qe8NJj9j3JqJEA5KgzB4
N-0000-EN-ITT-0006-0-0 Welding Material conservation.pdf,QmW3gUyfMPnQdKiSEGG3E1DvATshb3B3UQArQKdQgqDagG
N-0000-EN-ITT-0007-0-0 Welding Instruction.pdf,QmQzKx5WQtpFqfjXvGMA5bykx6R25K2n79sWoSjaaQo3ZD
N-0000-HR-FRM-0003-0-0 Induction and indoctrination record.pdf,QmRxG4KDEmcnuF5t8vYGChaGz3ojyb7VWG7SxvZGXmkxZj
N-0000-HR-FRM-0007-0-0 Qualification record.pdf,QmUxxny15Kp42f1wCpzhtuA7XGcggkmhLficJeLbx8yrS9
N-0000-HR-FRM-0008-0-0 Training record.pdf,QmQV9x2sz1utr84FKq2ZN3ZSW2Bu3KdgZtNFz83qQTwUPV
N-0000-HR-PRO-0001-0-0 Personnel indoctrination, training, certification and qualification.pdf,QmRHEeyV9ZJALSf1BJUVF9N2qQGacNQMgGnwwWcDLuWrpv
N-0000-PR-WLO-0001-0-0 - Welder Log Gabriel Arcudi.pdf,QmUhiZh9inxPffMTAk8BKD8qb77uVkEUNN1aDM8U9pKwts
N-0000-PR-WLO-0001-0-1 - Welder Log Gabriel Arcudi.pdf,Qmf4wAdCbcJLo5Fp8WiFypvfFPunr7RRyRA4VC3UF2rx4V
N-0000-PR-WLO-0001-0-2 - Welder Log Gabriel Arcudi.pdf,QmQUCisLgQxLTjKNrniArfH3F66XPi4tnn4ZUbvgvCnaoA
N-0000-QA-APR-21001-0-0 - Programa de auditorías 2021.pdf,QmQm8g5pTdSvUcUQYxNTcVdXr1ZDZAjsXmAbUFzajg5u8A
N-0000-QA-APR-22001-0-0 - Programa de auditorías 2022.pdf,QmYfSxthzPp8bTrZx2YbZAfSNSwqU8kasPdZd7EvKLxmMy
N-0000-QA-AUC-21001-0-0 - Certificate of Qualified Lead Auditor A.Rosso.pdf,QmWTDCHedDUL55zcsav2gUaJgqruZdHxLHo1sqSCWsmYrZ
N-0000-QA-AUC-21002-0-0 - Recertification of LA.pdf,QmQUX6z8jsVrfLCHC8kboi974Qv8VscWryg3jpzD5du93c
N-0000-QA-AUD-21001-0-0 - Audit report ENDITEC.pdf,QmXgNkRHaVbGrAgppD3p7hqY1XbgmSg5pYFnUaXGBjRa3W
N-0000-QA-AUD-21002-0-0 - Audit report CNEA DIV FRACTURA.pdf,QmXM5wwCXhfwfx9rfVCF1nZkrKX5PxaNaFL12B9dUgqPR8
N-0000-QA-AUD-21003-0-0 - Audit report LABTESA.pdf,QmfH44LVpU22WTL3cJgqwPmBQ5AkefUszik6fNNVR7nNxK
N-0000-QA-AUD-21004-0-0- Audit report SILMAR.pdf,QmWQz36ZRMbL65QsY2SCo7hjEeYZJ4N1Gr3w7qwEp2bBzR
N-0000-QA-AUD-21005-0-0 - Audit report-SIT.pdf,QmXXJfq88LfSZfdh6AimhPpQ8oCRUCBkpjm278TBDNK41P
N-0000-QA-AUD-21006-0-0 - Internal Audit report.pdf,QmfGB4cb88dx3AD7YnNwXJizqRyYVq6Ldrboa2gdmki5aY
N-0000-QA-AUP-21001-0-0 - Internal Audit Plan.pdf,QmPLVZF6g8WGUQnSyJmhsnNKuVciwmZb42Mf9AUSxyUu8o
N-0000-QA-AUQ-21001-0-0 - Qualification of Lead Auditor A.Rosso.pdf,QmZy2uUvGAaFtKJKStzEAqb9DBfSvFFJJabJZgBve4u73b
N-0000-QA-AUQ-21001-1-0 - Calificación LA para NPT.pdf,QmRzdD9heneRn1VQu9Vz2wZTJQ1t8141ghjsoTE6iPtZjk
N-0000-QA-CAR-21001-0-0 - Survey LABTESA - NIST Certification.pdf,QmemS6tcDHEkM5puoweaCYeWkE1CG42gV5zHMeCDL7L5qP
N-0000-QA-CAR-21002-0-0 - Lead Auditor Qualification.pdf,QmRj1Jn1LP12BxGDoi5cLsRHAXthAYntKgGaE6kbyQsqiS
